"Статус","Количество"
"PA","17"
"SF","255"
"IW","10"
"SR","109"
"IF","43"
"IS","5"
"IA","18"
"PW","8"
"PF","17"
"SD","33"
"SA","21"
"IR","13"
"SS","15"
"SW","43"
"P","1"
"S","25"
"I","6"
"SP","1"
"PR","2"
"ID","2"
"PS","3"
"PD","1"
